time_s,truth_phase_rad,mode,decoded_phase_rad,truth_error_rad,source_residual_rad,bump_concentration,bump_width_rad,cue_applied,cross_track_position_m
20.0,0.021204130486734613,no_cue,0.02120395984840154,-1.7063833324115762e-07,-3.070689960082973e-07,0.7961706624100595,0.6751914041299912,0,0.19818765934905969
20.0,0.021204130486734613,periodic_cue,0.021273562943769635,6.943245703494583e-05,6.92960263717346e-05,0.941759248572961,0.3464263611040029,1,0.19818765934905969
20.0,0.021204130486734613,every_epoch_cue,0.02127356294376796,6.943245703316947e-05,6.929602637040233e-05,0.9417592485729608,0.34642636110400354,1,0.19818765934905969
22.0,0.023324543886009935,no_cue,0.023324382605893094,-1.6128011681715293e-07,-2.737951860787291e-07,0.7961706624100595,0.6751914041299912,0,0.1856950371147832
22.0,0.023324543886009935,periodic_cue,0.023387920579852794,6.337669384270939e-05,6.326417877344781e-05,0.79617066241006,0.6751914041299903,0,0.1856950371147832
22.0,0.023324543886009935,every_epoch_cue,0.02339395242106794,6.940853505810196e-05,6.929601998884038e-05,0.9417592485729197,0.34642636110412944,1,0.1856950371147832
24.0,0.025444957385460366,no_cue,0.025444804939149874,-1.5244631068611625e-07,-2.2409746103235761e-07,0.7961706624100592,0.6751914041299918,0,-0.02686830738093704
24.0,0.025444957385460366,periodic_cue,0.02550834291310949,6.338552764928451e-05,6.331387649849418e-05,0.7961706624100595,0.6751914041299912,0,-0.02686830738093704
24.0,0.025444957385460366,every_epoch_cue,0.02551432504234847,6.936765688791979e-05,6.929600573757355e-05,0.9417592485728686,0.346426361104286,1,-0.02686830738093704
26.0,0.027565370994194156,no_cue,0.027565227193223,-1.4380097113075863e-07,-2.1718427722916545e-07,0.7961706624100595,0.6751914041299912,0,-0.02528459794120863
26.0,0.027565370994194156,periodic_cue,0.027628765167182566,6.339417298839578e-05,6.332078968229737e-05,0.7961706624100594,0.6751914041299915,0,-0.02528459794120863
26.0,0.027565370994194156,every_epoch_cue,0.027634740380740253,6.936938654611424e-05,6.929600324001584e-05,0.9417592485728145,0.3464263611044521,1,-0.02528459794120863
28.0,0.029685784721319945,no_cue,0.02968564985426372,-1.348670561895915e-07,-2.3589220266018174e-07,0.7961706624100597,0.6751914041299908,0,0.0006792904168833047
28.0,0.029685784721319945,periodic_cue,0.02974918782822339,6.340310690333695e-05,6.330208175686636e-05,0.7961706624100597,0.6751914041299908,0,0.0006792904168833047
28.0,0.029685784721319945,every_epoch_cue,0.02975518176356099,6.93970422411816e-05,6.9296017094711e-05,0.9417592485727658,0.3464263611046011,1,0.0006792904168833047
30.0,0.031806198575946756,no_cue,0.031806071973625054,-1.2660232151517903e-07,-1.9147912855288496e-07,0.7961706624100594,0.6751914041299915,0,0.15482146973954514
30.0,0.031806198575946756,periodic_cue,0.031875559453087,6.936087714004557e-05,6.929600033345196e-05,0.94175924857273,0.34642636110471103,1,0.15482146973954514
30.0,0.031806198575946756,every_epoch_cue,0.03187555945308533,6.93608771387133e-05,6.92960003316756e-05,0.9417592485727297,0.3464263611047117,1,0.15482146973954514
32.0,0.03392661256718407,no_cue,0.0339264946469943,-1.1792018961287454e-07,-2.206745826072165e-07,0.7961706624100593,0.6751914041299917,0,0.29416699190915097
32.0,0.03392661256718407,periodic_cue,0.03398991700509765,6.330443791346951e-05,6.320168352091926e-05,0.7961706624100601,0.6751914041299902,0,0.29416699190915097
32.0,0.03392661256718407,every_epoch_cue,0.033996011341202705,6.939877401856975e-05,6.929601962557541e-05,0.9417592485727106,0.34642636110477026,1,0.29416699190915097
34.0,0.03604702670414181,no_cue,0.036046918624585596,-1.0807955641567446e-07,-2.6724569801572784e-07,0.7961706624100595,0.6751914041299912,0,0.35049925111525226
34.0,0.03604702670414181,periodic_cue,0.03611034098268888,6.33142785471108e-05,6.315511240551075e-05,0.7961706624100595,0.6751914041299912,0,0.35049925111525226
34.0,0.03604702670414181,every_epoch_cue,0.03611648193379856,6.945522965695616e-05,6.929606351491202e-05,0.9417592485727113,0.3464263611047682,1,0.35049925111525226
36.0,0.03816744099593042,no_cue,0.03816734289673285,-9.809919765402242e-08,-2.7374546851532955e-07,0.7961706624100595,0.6751914041299912,0,0.4080501048883889
36.0,0.03816744099593042,periodic_cue,0.03823076525483631,6.332425890587245e-05,6.314861263501115e-05,0.7961706624100594,0.6751914041299915,0,0.4080501048883889
36.0,0.03816744099593042,every_epoch_cue,0.0382369127165059,6.947172057536477e-05,6.929607430450346e-05,0.9417592485727329,0.3464263611047022,1,0.4080501048883889
38.0,0.04028785545166085,no_cue,0.04028776724834661,-8.820331443004648e-08,-2.6498873539893e-07,0.7961706624100595,0.6751914041299912,0,0.4195068168628495
38.0,0.04028785545166085,periodic_cue,0.04035118960645016,6.333415478909643e-05,6.315736936812755e-05,0.7961706624100593,0.6751914041299917,0,0.4195068168628495
38.0,0.04028785545166085,every_epoch_cue,0.04035732831487465,6.947286321379309e-05,6.92960777928242e-05,0.9417592485727708,0.3464263611045858,1,0.4195068168628495
40.0,0.042408270080444614,no_cue,0.04240819210836123,-7.79720834565012e-08,-2.753474226402375e-07,0.7961706624100597,0.6751914041299908,0,0.20605142685235478
40.0,0.042408270080444614,periodic_cue,0.04247776355068471,6.949347024010066e-05,6.929609490091693e-05,0.9417592485728205,0.3464263611044337,1,0.20605142685235478
40.0,0.042408270080444614,every_epoch_cue,0.042477763550683015,6.94934702383243e-05,6.929609489914057e-05,0.9417592485728202,0.34642636110443437,1,0.20605142685235478
42.0,0.04452868489139383,no_cue,0.04452861796556273,-6.692583109924044e-08,-3.0358587732592923e-07,0.7961706624100594,0.6751914041299915,0,0.04498515563318506
42.0,0.04452868489139383,periodic_cue,0.04459212427617897,6.343938478492461e-05,6.320272473914201e-05,0.79617066241006,0.6751914041299903,0,0.04498515563318506
42.0,0.04452868489139383,every_epoch_cue,0.044598217678949156,6.953278755528203e-05,6.929612750905534e-05,0.9417592485728737,0.3464263611042704,1,0.04498515563318506
44.0,0.04664909989362122,no_cue,0.04664904273321373,-5.716040751835294e-08,-2.619603964859607e-07,0.7961706624100594,0.6751914041299915,0,-0.17334284156095237
44.0,0.04664909989362122,periodic_cue,0.04671254904382999,6.344915020894959e-05,6.324435021953789e-05,0.7961706624100595,0.6751914041299912,0,-0.17334284156095237
