profile,focal_length_pixels,peak_snr,field_position,monte_carlo_sample_count,detection_fraction,azimuth_bias_deg,elevation_bias_deg,angular_rmse_deg,covariance_az_az_rad2,covariance_az_el_rad2,covariance_el_el_rad2,angular_target_deg,angular_target_met
photon_only,600.0,100.0,off_axis,500,1.0,-0.0006342836319019022,0.00023326159012982428,0.013859211407656129,2.8871956393724824e-08,-6.608899596105608e-10,2.9616118662752704e-08,0.00625,False
photon_only,600.0,1000.0,center,500,1.0,8.728389377984052e-06,-4.371345481837675e-05,0.002206202166431859,7.248780270683406e-10,-6.398697339723339e-11,7.601596543346239e-10,0.00625,True
photon_only,600.0,1000.0,off_axis,500,1.0,7.463281813284202e-05,-0.00010135131804593548,0.0021962166957412983,6.534421715777766e-10,-4.779348143158198e-11,8.139486622794098e-10,0.00625,True
moderate_combined,300.0,100.0,center,500,1.0,0.0029134004904839824,-0.003984772288052617,0.031488095576741267,1.4262997722399574e-07,-8.484581980349304e-09,1.5256623330782812e-07,0.00625,False
moderate_combined,300.0,100.0,off_axis,500,1.0,0.003979681235737968,-0.002336257767313577,0.030510460821964906,1.527439810772218e-07,6.046451539667741e-09,1.2488893097233428e-07,0.00625,False
moderate_combined,300.0,1000.0,center,500,1.0,0.003943330029649774,-0.0038735776193503297,0.01116449212447826,1.4569659306540422e-08,1.2705376040126454e-09,1.4149667704475632e-08,0.00625,False
moderate_combined,300.0,1000.0,off_axis,500,1.0,0.004122285354685308,-0.004247986104009552,0.011216968077550033,1.3419724928663695e-08,-7.905155226641676e-11,1.4289395873599174e-08,0.00625,False
moderate_combined,600.0,100.0,center,500,1.0,0.0020433126496426793,-0.0016922443775012129,0.01597477767897384,3.6984086305138004e-08,8.378049041430423e-10,3.87596468855087e-08,0.00625,False
moderate_combined,600.0,100.0,off_axis,500,1.0,0.003816920666443295,-0.0005662301824546361,0.015442081377128068,3.410333779188884e-08,1.2982380049153864e-09,3.4135963037954084e-08,0.00625,False
moderate_combined,600.0,1000.0,center,500,1.0,0.0017567422765634203,-0.0019698110959925066,0.005528317862770927,3.797806142578103e-09,-1.6859442449497947e-11,3.4043505679916733e-09,0.00625,True
moderate_combined,600.0,1000.0,off_axis,500,1.0,0.0034305645523796334,-0.0010304435828476862,0.005800265286298781,3.311748503205572e-09,5.5818997994062004e-11,3.0408036853263578e-09,0.00625,True
stressed_combined,300.0,100.0,center,500,1.0,0.0180420405310288,-0.02017031768073904,0.05024261429493946,2.6387464644526856e-07,1.5850759945619446e-08,2.830825197107228e-07,0.00625,False
stressed_combined,300.0,100.0,off_axis,500,1.0,0.01908985643359128,-0.017565372023174614,0.05174547872318795,3.047326479405594e-07,-5.335587779497506e-10,3.071362029941005e-07,0.00625,False
stressed_combined,300.0,1000.0,center,500,1.0,0.018460405624685778,-0.018873061785566313,0.03856362366706142,1.176592473365901e-07,6.8543475534062856e-09,1.2352389416642813e-07,0.00625,False
stressed_combined,300.0,1000.0,off_axis,500,1.0,0.02154970407688914,-0.01677163123476068,0.038896792387232454,1.099808278012857e-07,-3.325415283134329e-09,1.2421536211873715e-07,0.00625,False
stressed_combined,600.0,100.0,center,500,1.0,0.010963396265785155,-0.009860621839065487,0.025142513045479164,6.295305184094305e-08,3.965733316318572e-09,6.36304549158573e-08,0.00625,False
stressed_combined,600.0,100.0,off_axis,500,1.0,0.01656516344035347,-0.007292842305256741,0.02854039139712814,7.410670412405342e-08,1.335980517631307e-09,7.452820748682908e-08,0.00625,False
stressed_combined,600.0,1000.0,center,500,1.0,0.009280125977908787,-0.009573186768115607,0.018911990392290513,2.8263979936998044e-08,6.682128686852456e-10,2.6645519076990667e-08,0.00625,False
stressed_combined,600.0,1000.0,off_axis,500,1.0,0.015536628856577415,-0.005872014132769552,0.021373530850136088,2.8011336780632588e-08,-5.471979001734769e-10,2.722283228953318e-08,0.00625,False
