time_s,truth_phase_rad,measured_rate_rad_s,phase_hint_rad,hint_available,hint_accepted,mode,decoded_phase_rad,truth_error_rad,bump_concentration
244.0,0.961544182194503,0.000897440348941347,nan,0,0,cann_gated_cue,0.9704490330910428,0.008904850896539696,0.7961706624152035
246.0,0.9631558908794553,0.0013150415153914865,nan,0,0,dead_reckoning,0.9872629635232537,0.02410707264379841,
246.0,0.9631558908794553,0.0013150415153914865,nan,0,0,cann_no_cue,0.9872629632176431,0.024107072338187763,0.7961706623999751
246.0,0.9631558908794553,0.0013150415153914865,nan,0,0,cann_sparse_cue,0.9722439175808295,0.009088026701374208,0.7961706623999751
246.0,0.9631558908794553,0.0013150415153914865,nan,0,0,cann_gated_cue,0.972243913788864,0.0090880229094088,0.7961706623999749
248.0,0.9647765196450491,0.0008903944760196318,nan,0,0,dead_reckoning,0.9898930465540368,0.02511652690898769,
248.0,0.9647765196450491,0.0008903944760196318,nan,0,0,cann_no_cue,0.9898930462482369,0.02511652660318786,0.7961706624292152
248.0,0.9647765196450491,0.0008903944760196318,nan,0,0,cann_sparse_cue,0.9748740006114232,0.010097480966374306,0.7961706624292151
248.0,0.9647765196450491,0.0008903944760196318,nan,0,0,cann_gated_cue,0.9748739968194576,0.010097477174408453,0.7961706624292151
250.0,0.9664068996384259,0.0007543037962882983,nan,0,0,dead_reckoning,0.9916738355060759,0.025266935867650275,
250.0,0.9664068996384259,0.0007543037962882983,nan,0,0,cann_no_cue,0.9916738352002146,0.025266935561788717,0.7961706623995765
250.0,0.9664068996384259,0.0007543037962882983,nan,0,0,cann_sparse_cue,0.9766547895634011,0.010247889924975162,0.7961706623995766
250.0,0.9664068996384259,0.0007543037962882983,nan,0,0,cann_gated_cue,0.9766547857714355,0.010247886133009754,0.7961706623995766
252.0,0.9680478448997605,0.0009242205507628459,nan,0,0,dead_reckoning,0.9931824430986526,0.02513459819889219,
252.0,0.9680478448997605,0.0009242205507628459,nan,0,0,cann_no_cue,0.9931824427927554,0.025134597892995103,0.7961706623924931
252.0,0.9680478448997605,0.0009242205507628459,nan,0,0,cann_sparse_cue,0.9781633971559417,0.010115552256181104,0.7961706623924929
252.0,0.9680478448997605,0.0009242205507628459,nan,0,0,cann_gated_cue,0.9781633933639761,0.010115548464215696,0.796170662392493
254.0,0.9697001509341574,0.0011468871037784638,nan,0,0,dead_reckoning,0.9950308842001783,0.025330733266020644,
254.0,0.9697001509341574,0.0011468871037784638,nan,0,0,cann_no_cue,0.9950308838942159,0.025330732960058278,0.7961706624015191
254.0,0.9697001509341574,0.0011468871037784638,nan,0,0,cann_sparse_cue,0.9800118382574018,0.010311687323244279,0.7961706624015191
254.0,0.9697001509341574,0.0011468871037784638,nan,0,0,cann_gated_cue,0.9800118344654363,0.01031168353127887,0.796170662401519
256.0,0.9713645933160646,0.0007987917911198158,nan,0,0,dead_reckoning,0.9973246584077352,0.025960065091670703,
256.0,0.9713645933160646,0.0007987917911198158,nan,0,0,cann_no_cue,0.9973246581016465,0.02596006478558177,0.7961706624161136
256.0,0.9713645933160646,0.0007987917911198158,nan,0,0,cann_sparse_cue,0.9823056124648326,0.010941019148767772,0.7961706624161137
256.0,0.9713645933160646,0.0007987917911198158,nan,0,0,cann_gated_cue,0.9823056086728675,0.010941015356802808,0.7961706624161137
258.0,0.9730419263286529,0.0013046887855817182,nan,0,0,dead_reckoning,0.9989222419899748,0.025880315661321873,
258.0,0.9730419263286529,0.0013046887855817182,nan,0,0,cann_no_cue,0.9989222416838422,0.02588031535518942,0.7961706623946798
258.0,0.9730419263286529,0.0013046887855817182,nan,0,0,cann_sparse_cue,0.9839031960470285,0.010861269718375421,0.7961706623946796
258.0,0.9730419263286529,0.0013046887855817182,nan,0,0,cann_gated_cue,0.9839031922550632,0.010861265926410013,0.7961706623946798
260.0,0.9747328816405465,0.0008096786441837006,nan,0,0,dead_reckoning,1.0015316195611383,0.02679873792059162,
260.0,0.9747328816405465,0.0008096786441837006,nan,0,0,cann_no_cue,1.0015316192548214,0.02679873761427487,0.7961706624283567
260.0,0.9747328816405465,0.0008096786441837006,nan,0,0,cann_sparse_cue,0.9865125736180076,0.011779691977460871,0.7961706624283565
260.0,0.9747328816405465,0.0008096786441837006,nan,0,0,cann_gated_cue,0.9865125698260424,0.011779688185495907,0.7961706624283568
262.0,0.9764381670222275,0.0011415614996697564,nan,0,0,dead_reckoning,1.0031509768495057,0.026712809827277972,
262.0,0.9764381670222275,0.0011415614996697564,nan,0,0,cann_no_cue,1.0031509765431423,0.026712809520915037,0.7961706623952338
262.0,0.9764381670222275,0.0011415614996697564,nan,0,0,cann_sparse_cue,0.9881319309063284,0.011693763884101038,0.7961706623952338
262.0,0.9764381670222275,0.0011415614996697564,nan,0,0,cann_gated_cue,0.9881319271143633,0.01169376009213563,0.7961706623952339
264.0,0.9781584651043665,0.0010796150928071599,nan,0,0,dead_reckoning,1.0054340998488454,0.027275634744478694,
264.0,0.9781584651043665,0.0010796150928071599,nan,0,0,cann_no_cue,1.005434099542358,0.027275634437991414,0.7961706624157281
264.0,0.9781584651043665,0.0010796150928071599,nan,0,0,cann_sparse_cue,0.9904150539055442,0.012256588801177415,0.7961706624157279
264.0,0.9781584651043665,0.0010796150928071599,nan,0,0,cann_gated_cue,0.990415050113579,0.01225658500921245,0.7961706624157278
266.0,0.9798944321802561,0.0009723777115704291,nan,0,0,dead_reckoning,1.0075933300344595,0.02769889785420343,
266.0,0.9798944321802561,0.0009723777115704291,nan,0,0,cann_no_cue,1.0075933297278659,0.02769889754760957,0.7961706624113735
266.0,0.9798944321802561,0.0009723777115704291,nan,0,0,cann_sparse_cue,0.9925742840910521,0.012679851910796014,0.7961706624113734
266.0,0.9798944321802561,0.0009723777115704291,nan,0,0,cann_gated_cue,0.9925742802990868,0.012679848118830606,0.7961706624113734
268.0,0.9816466970544494,0.0011962346375969895,nan,0,0,dead_reckoning,1.0095380854576004,0.027891388403150863,
268.0,0.9816466970544494,0.0011962346375969895,nan,0,0,cann_no_cue,1.009538085150929,0.02789138809647973,0.7961706624044097
268.0,0.9816466970544494,0.0011962346375969895,nan,0,0,cann_sparse_cue,0.994519039514115,0.012872342459665731,0.7961706624044096
268.0,0.9816466970544494,0.0011962346375969895,nan,0,0,cann_gated_cue,0.99451903572215,0.012872338667700767,0.7961706624044097
270.0,0.9834158599396232,0.0007597591557178718,nan,0,0,dead_reckoning,1.0119305547327944,0.028514694793170925,
