condition_seed,noise_seed,node_count,trajectory,decision_index,action_id,action_kind,action_probability,counterfactual_task_gain,communication_penalty,resynchronization_penalty,topology_switch_penalty,training_objective,objective_gain_over_keep
1501,0,10,keep,6,2,swap,0.010699481703341007,0.0002037632089072483,0.0035833333333333333,0.0002,0.001,-0.004579570124426086,-0.000912903457759419
1501,0,10,keep,6,10,swap,0.0029411090072244406,0.000151278533664867,0.004,0.0002,0.001,-0.005048721466335133,-0.0013820547996684662
1501,0,10,keep,9,0,keep,0.08025156706571579,0.0,0.002,0.0,0.0,-0.002,0.0
1501,0,10,keep,9,1,add,0.7891075015068054,-0.00860771006754446,0.0021666666666666666,0.0002,0.001,-0.011974376734211128,-0.009974376734211128
1501,0,10,keep,9,2,swap,0.01305965892970562,-0.021162491566523278,0.0019166666666666668,0.0002,0.001,-0.024279158233189945,-0.022279158233189947
1501,0,10,keep,9,10,swap,0.004738315008580685,-0.010313933893937532,0.002,0.0002,0.001,-0.013513933893937534,-0.011513933893937534
1501,0,10,policy,0,0,keep,0.093861423432827,0.0,0.004166666666666667,0.0,0.0,-0.004166666666666667,0.0
1501,0,10,policy,0,1,add,0.7894467711448669,0.021643141577559533,0.004583333333333333,0.0002,0.001,0.015859808244226198,0.020026474910892864
1501,0,10,policy,0,2,swap,0.00800043810158968,0.03465003765329433,0.004166666666666667,0.0002,0.001,0.029283370986627665,0.03345003765329433
1501,0,10,policy,0,10,swap,0.011608834378421307,0.019267248013232763,0.004166666666666667,0.0002,0.001,0.013900581346566097,0.018067248013232763
1501,0,10,policy,3,0,keep,0.9023902416229248,0.0,0.0045000000000000005,0.0,0.0,-0.0045000000000000005,0.0
1501,0,10,policy,3,1,remove,0.007074239198118448,-0.015650124773488594,0.004,0.0,0.001,-0.020650124773488595,-0.016150124773488594
1501,0,10,policy,3,10,remove,0.011249136179685593,-0.005410284674708832,0.004083333333333333,0.0,0.001,-0.010493618008042164,-0.005993618008042163
1501,0,10,policy,6,0,keep,0.8972854018211365,0.0,0.004,0.0,0.0,-0.004,0.0
1501,0,10,policy,6,1,remove,0.008162874728441238,-0.002699996608562294,0.0035,0.0,0.001,-0.007199996608562294,-0.0031999966085622935
