resource_form,communication_multiplier,resynchronization_multiplier,switch_multiplier,mean_best_gain_over_keep,positive_best_nonkeep_fraction,best_type_match_fraction_to_current,node_count,state_count,best_keep_count,best_add_count,best_swap_count,best_remove_count
absolute,0.25,0.0,2.0,0.012997003044829966,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
absolute,0.25,0.0,2.0,0.008654731858163444,0.3125,0.9285714285714286,10,16,11,0,5,0
absolute,0.25,0.0,2.0,0.004074164910458766,0.6875,0.9285714285714286,20,16,5,6,4,1
absolute,0.25,0.5,0.0,0.013976084441883726,0.7083333333333334,0.875,5,24,7,4,10,3
absolute,0.25,0.5,0.0,0.009548306436619884,0.5,0.875,10,16,8,2,5,1
absolute,0.25,0.5,0.0,0.005506310381644085,0.8125,0.875,20,16,3,7,4,2
absolute,0.25,0.5,0.25,0.013802820045292897,0.6666666666666666,0.9107142857142857,5,24,8,4,9,3
absolute,0.25,0.5,0.25,0.009423306436619884,0.5,0.9107142857142857,10,16,8,2,5,1
absolute,0.25,0.5,0.25,0.005318159593787948,0.75,0.9107142857142857,20,16,4,7,4,1
absolute,0.25,0.5,0.5,0.01364322610173826,0.625,0.9285714285714286,5,24,9,4,8,3
absolute,0.25,0.5,0.5,0.009298306436619884,0.5,0.9285714285714286,10,16,8,2,5,1
absolute,0.25,0.5,0.5,0.005130659593787948,0.75,0.9285714285714286,20,16,4,7,4,1
absolute,0.25,0.5,1.0,0.013388669711496637,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.25,0.5,1.0,0.009048306436619885,0.5,1.0,10,16,8,2,5,1
absolute,0.25,0.5,1.0,0.004755659593787947,0.75,1.0,20,16,4,7,4,1
absolute,0.25,0.5,2.0,0.012930336378163302,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
absolute,0.25,0.5,2.0,0.008623481858163442,0.3125,0.9285714285714286,10,16,11,0,5,0
absolute,0.25,0.5,2.0,0.0040429149104587656,0.6875,0.9285714285714286,20,16,5,6,4,1
absolute,0.25,1.0,0.0,0.013861153378626237,0.6666666666666666,0.8928571428571429,5,24,8,4,9,3
absolute,0.25,1.0,0.0,0.009504556436619885,0.5,0.8928571428571429,10,16,8,2,5,1
absolute,0.25,1.0,0.0,0.005471935381644085,0.8125,0.8928571428571429,20,16,3,7,4,2
absolute,0.25,1.0,0.25,0.01369947610173826,0.625,0.9285714285714286,5,24,9,4,8,3
absolute,0.25,1.0,0.25,0.009379556436619885,0.5,0.9285714285714286,10,16,8,2,5,1
absolute,0.25,1.0,0.25,0.005283784593787947,0.75,0.9285714285714286,20,16,4,7,4,1
absolute,0.25,1.0,0.5,0.01355340030915407,0.5416666666666666,0.9642857142857143,5,24,11,2,8,3
absolute,0.25,1.0,0.5,0.009254556436619885,0.5,0.9642857142857143,10,16,8,2,5,1
absolute,0.25,1.0,0.5,0.005096284593787947,0.75,0.9642857142857143,20,16,4,7,4,1
absolute,0.25,1.0,1.0,0.01332200304482997,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.25,1.0,1.0,0.009004556436619885,0.5,1.0,10,16,8,2,5,1
absolute,0.25,1.0,1.0,0.004721284593787947,0.75,1.0,20,16,4,7,4,1
