seed,method,position_rmse,velocity_rmse,mean_angle_nis,mean_orbit_nees,mean_attitude_error_deg,failed,error
20260745,mekf_without_covariance,0.43797170987228534,0.0023752453209006357,6.019864537422591,0.0018891725582619258,0.05970031559296897,False,
20260746,truth_attitude,0.375249551377192,0.0028212919099996248,1.9216054470291921,0.002328045790847091,0.049886169395359364,False,
20260746,mekf_with_covariance,0.39502825995127056,0.003074994583066002,0.9980741254912222,0.002761334472845914,0.049886169395359364,False,
20260746,mekf_without_covariance,0.4036244040449366,0.003089130645653794,4.855803558802351,0.0028303115051561147,0.049886169395359364,False,
20260747,truth_attitude,0.4005850081134087,0.0019401411686397734,1.9907765979100855,0.001245863497102092,0.0658311614146237,False,
20260747,mekf_with_covariance,0.3851145317158958,0.002504118909714976,1.5059116524858158,0.001961731734085115,0.0658311614146237,False,
20260747,mekf_without_covariance,0.35916194694391984,0.00246894246186931,7.29473394026465,0.001911582898156885,0.0658311614146237,False,
20260748,truth_attitude,0.34917755835421804,0.0021659389454304406,1.8936481678861543,0.0015226540502171282,0.06235548879555353,False,
20260748,mekf_with_covariance,0.40529659722476136,0.0027782681733172507,1.2997880123190004,0.002427501826448132,0.06235548879555353,False,
20260748,mekf_without_covariance,0.38199523008095665,0.0028464026135227374,6.364887751208892,0.0025761681729862176,0.06235548879555353,False,
20260749,truth_attitude,0.4029314097940707,0.0015700938257676034,2.0698472936160917,0.0008897204979981303,0.04986037638883533,False,
20260749,mekf_with_covariance,0.39089577261681396,0.0017697334445792709,1.1289195712694442,0.0010692616756205371,0.04986037638883533,False,
20260749,mekf_without_covariance,0.39850335375982343,0.001927042978915784,5.43813068642483,0.0012663926373898539,0.04986037638883533,False,
20260750,truth_attitude,0.38787884033059594,0.0019902948689313918,1.7781448689716557,0.0012924811702811315,0.06431685504176766,False,
20260750,mekf_with_covariance,0.40393218539110637,0.002468122052587318,1.5409015682593847,0.0019207293724043725,0.06431685504176766,False,
20260750,mekf_without_covariance,0.4093253208289065,0.002673945347279239,7.935066032086267,0.002271803511817227,0.06431685504176766,False,
20260751,truth_attitude,0.3995887115943336,0.002134704985249038,1.8827184008215743,0.001508944673405189,0.05404879759999983,False,
20260751,mekf_with_covariance,0.4095379756661544,0.002570443720628355,1.1527235758575591,0.0021045610527821615,0.05404879759999983,False,
20260751,mekf_without_covariance,0.4484015777595811,0.0026302904974957694,5.784985589292156,0.002269395660947215,0.05404879759999983,False,
20260752,truth_attitude,0.41951985834370986,0.0027386487970700113,1.9922735051981812,0.002357739315477142,0.06008300565430351,False,
20260752,mekf_with_covariance,0.41611111274028567,0.0029371302836586435,1.2796096784047262,0.002620170757065878,0.06008300565430351,False,
20260752,mekf_without_covariance,0.4042902636970297,0.0029894158067810587,6.097262533693208,0.0027783436291900928,0.06008300565430351,False,
20260753,truth_attitude,0.41736763913435987,0.0020116562028866143,1.9027283196944937,0.0013608403632420624,0.056050956257864055,False,
20260753,mekf_with_covariance,0.396236647865837,0.0024944440725694446,1.3306673552047323,0.0019671329657173094,0.056050956257864055,False,
20260753,mekf_without_covariance,0.4378658570029337,0.0025894907817061805,6.4033558753377635,0.002181806879603412,0.056050956257864055,False,
20260754,truth_attitude,0.4087381294466755,0.0020516134884462278,1.8922811985888754,0.0014218367613669518,0.059708958257296975,False,
20260754,mekf_with_covariance,0.4562691088808949,0.003150349486441519,1.3010578839586575,0.0031163467935351927,0.059708958257296975,False,
20260754,mekf_without_covariance,0.40043466364991337,0.002812813303479629,5.763234387729725,0.0025305930554081596,0.059708958257296975,False,
20260755,truth_attitude,0.40271915669426894,0.0014217087404459175,1.8079774793027983,0.0007280191186727951,0.05630289582434415,False,
20260755,mekf_with_covariance,0.4024732888720688,0.0019435712724833287,1.2680008530712896,0.001246482542265631,0.05630289582434415,False,
20260755,mekf_without_covariance,0.41414188715859185,0.0020359629576783794,6.263433102542972,0.0013765962891857135,0.05630289582434415,False,
20260756,truth_attitude,0.41438582822594044,0.0017337971055623315,1.9061226060086,0.0010440928830050956,0.05352542304045021,False,
20260756,mekf_with_covariance,0.4017502992409845,0.002012434970601817,1.0614824396728686,0.001326482063109205,0.05352542304045021,False,
20260756,mekf_without_covariance,0.3947535081911988,0.0021483005838311667,5.058375787626626,0.001510536623530485,0.05352542304045021,False,
20260757,truth_attitude,0.4087761977831121,0.0020695641259494218,1.866439600010732,0.001325661119395458,0.06257084249545514,False,
20260757,mekf_with_covariance,0.41240326152158857,0.002898894617290069,1.4830233362413054,0.002535603947367129,0.06257084249545514,False,
20260757,mekf_without_covariance,0.420653602499558,0.002858425179499225,7.294674805589984,0.002506265692273135,0.06257084249545514,False,
20260758,truth_attitude,0.46350797244844527,0.0019504241406434154,2.06834531150265,0.0013473809400607385,0.060529922057481325,False,
20260758,mekf_with_covariance,0.41991278828660844,0.0022581341032077086,1.2856695622756815,0.0016546585308253993,0.060529922057481325,False,
20260758,mekf_without_covariance,0.45833150342289375,0.0023582723077556354,5.976696855907627,0.0018701719285484245,0.060529922057481325,False,
