seed,packet_loss_rate,delay,method,position_rmse,velocity_rmse,mean_angle_nis,mean_orbit_nees,pre_ci_position_rmse,pre_ci_velocity_rmse,pre_ci_mean_orbit_nees,ci_position_gain,ci_velocity_gain,mean_attitude_error_deg,received_report_count,dropped_report_count,pending_report_count,average_delay,realized_packet_loss_rate,failed,error
20260731,0.0,0.0,mekf_without_covariance,0.5081062802616652,0.002615535344488573,5.387039515559219,0.0022596299203869285,0.5003295343438484,0.0033923177235533437,0.0036456594075310973,-0.007776745917816741,0.0007767823790647706,0.049053258988941736,366,0,0,0.0,0.0,False,
20260731,0.0,0.0,mekf_with_covariance_local_only,0.4195692070046904,0.0036482498418370017,0.7636438242817766,0.003931468878907504,0.4195692070046904,0.0036482498418370017,0.003931468878907504,0.0,0.0,0.049053258988941736,366,0,0,0.0,0.0,False,
20260732,0.0,0.0,truth_attitude,0.639424464470815,0.002958702811465131,1.961407560697625,0.0029946987632608045,0.6235673209859107,0.002797127713762202,0.0027106921369471505,-0.0158571434849043,-0.00016157509770292882,0.0624069848180023,366,0,0,0.0,0.0,False,
20260732,0.0,0.0,mekf_with_covariance,0.4448851855756808,0.002809412969400871,1.484404459285829,0.002458797609216556,0.4458759617207834,0.004022143939261474,0.004474004144899588,0.0009907761451026231,0.0012127309698606028,0.0624069848180023,366,0,0,0.0,0.0,False,
20260732,0.0,0.0,mekf_without_covariance,0.505216870910508,0.003425504528062411,7.177579213685857,0.0037234552282295556,0.5034072133973004,0.004323996774523077,0.005725308453177509,-0.0018096575132076076,0.000898492246460666,0.0624069848180023,366,0,0,0.0,0.0,False,
20260732,0.0,0.0,mekf_with_covariance_local_only,0.5066761295101738,0.003256780350648265,0.9743490664298197,0.0033295863977607387,0.5066761295101738,0.003256780350648265,0.0033295863977607387,0.0,0.0,0.0624069848180023,366,0,0,0.0,0.0,False,
20260733,0.0,0.0,truth_attitude,0.4773850255853365,0.002244737248929949,1.7382901671880762,0.0016765042180822208,0.4683384743422849,0.002964600952123882,0.0027843321540554967,-0.009046551243051593,0.000719863703193933,0.06506027804623014,366,0,0,0.0,0.0,False,
20260733,0.0,0.0,mekf_with_covariance,0.408426111066848,0.002542624518116618,2.3135886417224616,0.001996549971183956,0.40885298627551114,0.004381533522402657,0.005246937247422106,0.00042687520866313555,0.0018389090042860387,0.06506027804623014,366,0,0,0.0,0.0,False,
20260733,0.0,0.0,mekf_without_covariance,0.5794643603908807,0.002782908564641163,10.258832614892492,0.0025969691456131307,0.5711528798822904,0.004921573814340082,0.007409157625035406,-0.008311480508590319,0.0021386652496989188,0.06506027804623014,366,0,0,0.0,0.0,False,
20260733,0.0,0.0,mekf_with_covariance_local_only,0.48336952920406895,0.002818707054624675,0.9293475893987863,0.002565292173860432,0.48336952920406895,0.002818707054624675,0.002565292173860432,0.0,0.0,0.06506027804623014,366,0,0,0.0,0.0,False,
20260734,0.0,0.0,truth_attitude,0.3453549051011958,0.0022737443347066533,1.752274196552603,0.001655112547497267,0.3496388300666582,0.0026672327371224554,0.0021791082322644407,0.004283924965462371,0.00039348840241580207,0.05830293399563061,366,0,0,0.0,0.0,False,
20260734,0.0,0.0,mekf_with_covariance,0.38360534817842495,0.0028509568900246213,1.3293344640175129,0.002504062725626641,0.39092734178734223,0.004356602396931386,0.00527257029222226,0.007321993608917277,0.0015056455069067652,0.05830293399563061,366,0,0,0.0,0.0,False,
20260734,0.0,0.0,mekf_without_covariance,0.6467717965712473,0.0032386798960161957,6.889402478889644,0.0035858955409123656,0.6418688513665154,0.004821119263342875,0.007243483085935167,-0.00490294520473189,0.0015824393673266792,0.05830293399563061,366,0,0,0.0,0.0,False,
20260734,0.0,0.0,mekf_with_covariance_local_only,0.4428694114961423,0.0036446833660201735,1.0840524351110878,0.004057240812961332,0.4428694114961423,0.0036446833660201735,0.004057240812961332,0.0,0.0,0.05830293399563061,366,0,0,0.0,0.0,False,
20260735,0.0,0.0,truth_attitude,0.5575789699078373,0.0025951531806680896,1.6325142887564337,0.0022570980038514443,0.5699257290451593,0.0027902427584616304,0.0025936240282416635,0.012346759137321972,0.00019508957779354073,0.0706712173587486,366,0,0,0.0,0.0,False,
20260735,0.0,0.0,mekf_with_covariance,0.4012228577568782,0.003261188982136925,1.8567319215862346,0.0032057464885026465,0.42297466177543674,0.003454086216510292,0.003572099502624363,0.02175180401855853,0.0001928972343733671,0.0706712173587486,366,0,0,0.0,0.0,False,
20260735,0.0,0.0,mekf_without_covariance,0.667026476952966,0.0033371730341522523,8.657815616680255,0.0037707586102601947,0.6700261373098739,0.003656358741389018,0.004450182167437216,0.0029996603569079072,0.0003191857072367657,0.0706712173587486,366,0,0,0.0,0.0,False,
20260735,0.0,0.0,mekf_with_covariance_local_only,0.49656346253212835,0.00355876459310173,1.160449491871296,0.0038901647241476856,0.49656346253212835,0.00355876459310173,0.0038901647241476856,0.0,0.0,0.0706712173587486,366,0,0,0.0,0.0,False,
20260736,0.0,0.0,truth_attitude,0.4466602335929323,0.003604105968480302,1.5149586404594781,0.0037157911974600756,0.4845143750287878,0.0030801760980541854,0.002801366683051545,0.037854141435855526,-0.0005239298704261164,0.05560981334828607,366,0,0,0.0,0.0,False,
20260736,0.0,0.0,mekf_with_covariance,0.3470203652984218,0.0038512090489700047,1.1868169130870154,0.004036811684644661,0.403370097846398,0.005538441176022345,0.008152134631438317,0.056349732547976206,0.0016872321270523403,0.05560981334828607,366,0,0,0.0,0.0,False,
20260736,0.0,0.0,mekf_without_covariance,0.6916686082122047,0.0046605421114800805,5.834046565378582,0.006601512387482465,0.7071989753305048,0.006176379103127695,0.01146858667914361,0.015530367118300137,0.0015158369916476143,0.05560981334828607,366,0,0,0.0,0.0,False,
20260736,0.0,0.0,mekf_with_covariance_local_only,0.5588287712432366,0.004129947266609225,0.8277708154436874,0.005096763892838912,0.5588287712432366,0.004129947266609225,0.005096763892838912,0.0,0.0,0.05560981334828607,366,0,0,0.0,0.0,False,
20260737,0.0,0.0,truth_attitude,0.5038102256633037,0.001967898730972197,1.689582072172212,0.0014150609718583378,0.49810243477100175,0.002129403494210883,0.0015632692343525195,-0.005707790892301945,0.00016150476323868604,0.07088450808251456,366,0,0,0.0,0.0,False,
20260737,0.0,0.0,mekf_with_covariance,0.34423612376259344,0.0025835716653692777,2.2712354724289483,0.001993703026259763,0.3565511484763588,0.0032993282109772767,0.003040341869519702,0.012315024713765388,0.000715756545607999,0.07088450808251456,366,0,0,0.0,0.0,False,
20260737,0.0,0.0,mekf_without_covariance,0.4125110547527716,0.0028393650432706995,9.218548893546116,0.0025567757273010595,0.4197039894221542,0.003669294896631854,0.004090997821093326,0.007192934669382589,0.0008299298533611544,0.07088450808251456,366,0,0,0.0,0.0,False,
20260737,0.0,0.0,mekf_with_covariance_local_only,0.4660044190075767,0.003287034876516882,1.017696433605569,0.003344442922872782,0.4660044190075767,0.003287034876516882,0.003344442922872782,0.0,0.0,0.07088450808251456,366,0,0,0.0,0.0,False,
20260738,0.0,0.0,truth_attitude,0.3941508502029963,0.0018649226525645048,1.6183993230874338,0.0011700910261967033,0.39277220508479754,0.0022242665772795544,0.001615354288845517,-0.0013786451181987402,0.0003593439247150496,0.06166107915910718,366,0,0,0.0,0.0,False,
20260738,0.0,0.0,mekf_with_covariance,0.3735772861482738,0.003497808350796987,1.7599308598738945,0.0037462014376190397,0.376805062969268,0.005370992687542604,0.008138803919668307,0.0032277768209942326,0.001873184336745617,0.06166107915910718,366,0,0,0.0,0.0,False,
20260738,0.0,0.0,mekf_without_covariance,0.4361694668902058,0.003487175652665793,7.758859692568963,0.0038234901396539565,0.42838783750953857,0.006020991405646097,0.010854932731607387,-0.007781629380667232,0.0025338157529803044,0.06166107915910718,366,0,0,0.0,0.0,False,
20260738,0.0,0.0,mekf_with_covariance_local_only,0.42920893372672253,0.0031224869839874526,1.109565094535212,0.0030753332254332484,0.42920893372672253,0.0031224869839874526,0.0030753332254332484,0.0,0.0,0.06166107915910718,366,0,0,0.0,0.0,False,
20260739,0.0,0.0,truth_attitude,0.4476047156227139,0.002250571662979817,1.49746240052638,0.0016081352385166417,0.44702727605902204,0.002238702589809991,0.0015525288610974649,-0.0005774395636918839,-1.1869073169825956e-05,0.04815339326823762,366,0,0,0.0,0.0,False,
20260739,0.0,0.0,mekf_with_covariance,0.3949891623973394,0.002883570987480413,1.031953315553957,0.0024751383256525414,0.4028994777079031,0.0038473177797588116,0.004075835519824313,0.007910315310563687,0.0009637467922783984,0.04815339326823762,366,0,0,0.0,0.0,False,
20260739,0.0,0.0,mekf_without_covariance,0.4646515851294934,0.0031544106259753313,4.847670131251743,0.003077003858110386,0.4665303836260597,0.004052995362103041,0.00493237579213032,0.001878798496566303,0.00089858473612771,0.04815339326823762,366,0,0,0.0,0.0,False,
